id,name,price,description,department
1,Multi-lateral systematic collaboration,454.3,Exactly standard sense catch part with however involve. Group order difficult career west. Choice race tonight past serve ball.,Clothing
2,Function-based value-added paradigm,107.37,Instead hear book mission teach information bar. None president trip.,Beauty
3,Balanced incremental flexibility,843.15,"Will travel office worker feeling hope morning instead.
Feeling owner us too probably expert base. Wall night nor across. Price development weight poor term think.",Electronics
4,Reduced stable flexibility,157.04,"Allow admit responsibility lawyer. Large husband would give thousand sense station.
Nature different less sister.",Electronics
5,Multi-layered secondary policy,820.84,"Stop marriage learn local keep base.
Probably specific down whole student. Want hard state middle on city live.",Clothing
6,Profit-focused context-sensitive benchmark,29.87,Season meeting generation glass draw. Name lawyer worker student tell. Turn leave approach commercial how smile.,Home Goods
7,Right-sized directional website,65.19,"Machine some question. Manage upon eight action hour direction price. Free often person hard ground pattern.
Local others next recognize visit half.",Toys
8,Focused zero administration support,746.45,"Pretty much finally office product security world they.
Become write scene build page.
Least yourself green great. Language attorney beautiful church reach. State lot expert fine.",Books
9,Multi-tiered zero-defect model,714.57,"Race response day career watch mean. Six entire protect movement.
Particularly difficult material my kid play. Much never list.
Attack probably next know. Where and try tree.",Toys
10,Optimized optimizing model,665.04,"Tv table generation treat Congress which purpose. Role central just not assume need.
Share former modern class take which. Usually lot serve cause doctor.",Automotive
11,Streamlined executive policy,133.63,"Four site hair scientist forget research course. Herself would happen third drop myself knowledge win.
Him the him check exist traditional. Think himself bring. Certainly rich play.",Sports
12,Synchronized mobile algorithm,916.02,"Floor list rate institution resource again general. Finally nothing science down second bit.
Enough husband city begin. View mother her.",Automotive
13,Compatible next generation Graphical User Interface,776.82,Explain figure language player national. Item not wish Mr serve recognize. Stop send speech fact he.,Books
14,Assimilated intermediate installation,820.04,Sign to maintain source. Hold art candidate reason Mr tonight.,Automotive
15,Focused 6thgeneration leverage,341.85,"Hard become could former. Project sport pay stuff.
Support suggest although know reveal street. Station eat turn somebody grow certain. Opportunity product it product support check.",Sports
16,Profound human-resource help-desk,615.74,"Two play evening factor produce manage cut. Stay collection chance page eight. Author network economy front they great.
Health test help research if true. Positive consumer care live.",Automotive
17,Managed background extranet,84.85,"Compare last like trip reach you piece. Night develop anything call. Treat per hair maintain take enough.
Hand personal rate product suffer. Huge record than boy season.",Books
18,Devolved 24/7 open architecture,754.0,"Star election close kid. Place mind exactly name sea institution. Book know increase good form success.
Somebody let meet wish goal.",Clothing
19,Organic mobile functionalities,685.71,Couple wish hard good. Firm edge where staff kitchen look culture. Back hand door camera image position.,Books
20,Programmable coherent monitoring,420.3,"One hear unit police. Simply light between ask billion these case. Onto medical order feel partner item center.
Example quality new door reality conference.",Automotive
21,Fundamental contextually-based application,434.57,"Too your smile loss plant. Source according forward key. Cup somebody central.
Southern wall address staff look growth. Training himself dream music entire report. Can message state level four.",Automotive
22,Enhanced intermediate artificial intelligence,27.02,"Assume apply cold full these.
Standard class when happen technology remember. Might difference sing page hold skin meeting. Bill outside modern watch business car seven value.",Books
23,Open-architected solution-oriented capacity,387.3,"Evidence guy serve lay truth energy. Bit financial politics affect necessary teach. Staff bring resource.
Several face state here food such wonder.",Books
